"verwervingswijzen","titel"
"ABU; ABO","Een bureauonderzoek en inventariserend veldonderzoek in de vorm van een verkennend booronderzoek"
"AXX","een inventariserend archeologisch onderzoek"
"ABU","Bureauonderzoek"
"ABU; AXX","archeologisch vooronderzoek: een bureau- en inventariserend veldonderzoek"
"ABU","Een bureauonderzoek"
"AXX","Inventariserend veldonderzoek"
"ABU; ABO","Bureauonderzoek en inventariserend veldonderzoek karterend booronderzoek"
"AXX","een inventariserend archeologisch veldonderzoek"
"ABU","Archeologisch bureauonderzoek"
"ABU; AXX","Archeologisch bureauonderzoek & Inventariserend Veldonderzoek verkennende fase"
"ABU; AXX","Bureauonderzoek en Inventariserend veldonderzoek (verkennende fase)"
"APP","Inventariserend Veldonderzoek door middel van proefsleuven"
"ABE","Een archeologische begeleiding"
"ANDXX","archeologisch vooronderzoek"
"APP","Een Inventariserend Veldonderzoek in de vorm van proefsleuven"
"ABU; AXX","Bureauonderzoek en Inventariserend veldonderzoek (karterende fase)"
"ABO","Een inventariserend veldonderzoek in de vorm van een verkennend booronderzoek"
"ABU; ABO","Een bureauonderzoek en inventariserend veldonderzoek in de vorm van een verkennend en karterend booronderzoek"
"ABU; ABO","een bureauonderzoek en inventariserend veldonderzoek in de vorm van boringen"
"ABU; AXX","Archeologisch bureauonderzoek en Inventariserend Veldonderzoek verkennende fase"
"ABE","Archeologische begeleiding"
"ABU","Archeologisch vooronderzoek: een bureauonderzoek"
"APP","Inventariserend veldonderzoek d.m.v. proefsleuven"
"AXX","Inventariserend archeologisch veldonderzoek : karterende fase"
"AXX","archeologisch vooronderzoek: een inventariserend veldonderzoek"
"AXX","Inventariserend veldonderzoek (karterende fase)"
"AXX","een inventariserend veldonderzoek"
"AXX","Inventariserend veldonderzoek verkennende fase"
"ABU; ABO","Bureauonderzoek en inventariserend veldonderzoek verkennend booronderzoek"
"AXX","Inventariserend veldonderzoek (verkennende fase)"
"ABU; ABO","een bureauonderzoek en verkennend inventariserend veldonderzoek door middel van grondboringen"
"ABO","een archeologische inventarisatie door middel van grondboringen"
"ABU; AXX","Bureauonderzoek en Inventariserend Veldonderzoek verkennende fase"
"ABU","Een archeologisch bureauonderzoek"
"AXX","Inventariserend veldonderzoek deel karterend"
"AXX","een aanvullende archeologische inventarisatie"
"ABU; ABO","Bureauonderzoek en karterend veldonderzoek d.m.v. boringen"
"ABU; ABO","Archeologisch Bureauonderzoek en Inventariserend Veldonderzoek door middel van verkennende boringen"
"AOP","Een archeologische opgraving"
"ABO","Een inventariserend veldonderzoek in de vorm van een verkennend en karterend booronderzoek"
"ABO","Inventariserend Veldonderzoek karterend booronderzoek"
"ABU; AXX","Archeologisch bureauonderzoek en Verkennend booronderzoek"
"APP","archeologisch vooronderzoek: een inventariserend veldonderzoek (proefsleuven)"
"ABU; ABO","een bureauonderzoek en een verkennend inventariserend veldonderzoek door middel van grondboringen"
"ABU; AXX","Archeologisch Bureauonderzoek & Inventariserend Veldonderzoek (IVO) verkennende fase"
"ABU; AXX","Archeologisch bureauonderzoek en Inventariserend Veldonderzoek (IVO; verkennende fase)"
"AXX","een aanvullende archeologische inventarisatie (AAI-1)"
"ABO","Inventariserend veldonderzoek verkennend booronderzoek"
"AXX","een aanvullende archeologische inventarisatie (AAI)"
"AXX","een verkennend archeologisch onderzoek"
"ABO","Een inventariserend veldonderzoek in de vorm van een karterend booronderzoek"
"ABU; AXX","Een Archeologisch Bureauonderzoek (BO) en Inventariserend Veldonderzoek (IVO) verkennende fase"
"ABU; AXX","Bureauonderzoek en Inventariserend Veldonderzoek"
"ABU; AXX","archeologisch bureau- en inventariserend veldonderzoek (karterende fase)"
"ABU; ABO","Bureauonderzoek en Inventariserend veldonderzoek-boringen"
"ABU; ABO","Archeologisch bureauonderzoek en gecombineerd verkennend en karterend booronderzoek"
"AXX","Inventariserend veldonderzoek karterende fase"
"APP","proefsleuvenonderzoek"
"ABO","Inventariserend veldonderzoek d.m.v. boringen"
"ABU","Bureauonderzoek archeologische waarden"
"ABO","Inventariserend veldonderzoek-boringen"
"ABU; ABO","Een bureauonderzoek en verkennend booronderzoek"
"AXX","een archeologisch onderzoek"
"APP","Inventariserend Veldonderzoek door middel van proefsleuven (IVO-P)"
"ANDXX","een archeologisch vooronderzoek"
"AXX","inventariserend archeologisch veldonderzoek karterende fase"
"AOP","Definitieve Opgraving"
"AXX","archeologisch onderzoek"
"ABE","Archeologische begeleiding onder protocol opgraven"
"ABU; AXX","Bureauonderzoek en Inventariserend Veldonderzoek karterende fase"
"ABE","Archeologische begeleiding protocol opgraven"
"ABU; AXX","Archeologisch bureauonderzoek en inventariserend veldonderzoek (verkennende fase)"
"ABO","een verkennend booronderzoek"
"ABU; NXX","archeologisch en cultuurhistorisch bureauonderzoek"
"ABO","Archeologisch vooronderzoek: een inventariserend veldonderzoek (verkennend booronderzoek)"
"ABU; ABO","Archeologisch vooronderzoek: een bureauonderzoek en inventariserend veldonderzoek (verkennend booronderzoek)"
"ABU; ABO","Bureau- en Inventariserend Veldonderzoek karterend booronderzoek"
"ADXX","definitief archeologisch onderzoek"
"AKA","een archeologische kartering"
"ANDXX","Archeologisch vooronderzoek."
"ABU","Bureauonderzoek archeologische waarde"
"ABO","Karterend Booronderzoek"
"AXX","een archeologische kartering inventarisatie en waardering"
"ABE","Archeologische begeleiding vervanging riool"
"ABU; AXX","archeologisch vooronderzoek: een bureauonderzoek en inventariserend veldonderzoek"
"ABU","Ruimtelijk advies op basis van bureauonderzoek"
"ABO","Inventariserend veldonderzoek door middel van boringen"
"ABE","Archeologische Begeleiding (protocol opgraven)"
"ABU; AXX","archeologisch vooronderzoek: een bureau- en inventariserend veldonderzoek (kartering)"
"AXX","Een Inventariserend Archeologisch Veldonderzoek."
"ABU","Ruimtelijk advies op basis van archeologisch bureauonderzoek"
"ABO","een inventariserend veldonderzoek in de vorm van boringen"
"ABU","BASISRAPPORTAGE BUREAUONDERZOEK"
"ABU; AXX","Archeologisch bureauonderzoek en Inventariserend Veldonderzoek (karterende fase)"
"ABU; AXX","Bureauonderzoek en archeologisch inventariserend veldonderzoek karterende fase"
"ABU; ABO","Een bureauonderzoek en inventariserend veldonderzoek in de vorm van een karterend booronderzoek"
"AXX","archeologische prospectie"
"APP","archeologisch vooronderzoek: een proefsleuvenonderzoek"
"APP","Archeologisch vooronderzoek: proefsleuvenonderzoek"
"ABU","Een archeologisch bureauonderzoek (BO)"
"ABU; AXX","Archeologisch bureauonderzoek & Inventariserend Veldonderzoek verkennende en karterende fase"
"AOP","Archeologisch onderzoek: een opgraving"
"ABO","Inventariserend Veldonderzoek (IVO-B)"
