"URI","skos:prefLabel","skos:definition","skos:broader","skos:notation"
"https://vocabularies.dans.knaw.nl/collections/archaeology#ADC","ADC","ADC ArcheoProjecten","https://vocabularies.dans.knaw.nl/collections#Organization","ADC"
"https://vocabularies.dans.knaw.nl/collections/archaeology#AeresMilieu","Aeres Milieu","Aeres Milieu","https://vocabularies.dans.knaw.nl/collections#Organization","AeresMilieu"
"https://vocabularies.dans.knaw.nl/collections/archaeology#AnteaGroup","Antea Group","Antea Group","https://vocabularies.dans.knaw.nl/collections#Organization","AnteaGroup"
"https://vocabularies.dans.knaw.nl/collections/archaeology#ARCbv","ARC bv","ARC bv","https://vocabularies.dans.knaw.nl/collections#Organization","ARCbv"
"https://vocabularies.dans.knaw.nl/collections/archaeology#ARCADIS","ARCADIS","ARCADIS","https://vocabularies.dans.knaw.nl/collections#Organization","ARCADIS"
"https://vocabularies.dans.knaw.nl/collections/archaeology#ArchaeoBone","ArchaeoBone","ArchaeoBone","https://vocabularies.dans.knaw.nl/collections#Organization","ArchaeoBone"
"https://vocabularies.dans.knaw.nl/collections/archaeology#Archeodienstbv","Archeodienst bv","Archeodienst bv","https://vocabularies.dans.knaw.nl/collections#Organization","Archeodienstbv"
"https://vocabularies.dans.knaw.nl/collections/archaeology#ArcheologieWest-Friesland","Archeologie West-Friesland","Archeologie West-Friesland","https://vocabularies.dans.knaw.nl/collections#Organization","ArcheologieWest-Friesland"
"https://vocabularies.dans.knaw.nl/collections/archaeology#ArcheoplanEco","Archeoplan Eco","Archeoplan Eco","https://vocabularies.dans.knaw.nl/collections#Organization","ArcheoplanEco"
"https://vocabularies.dans.knaw.nl/collections/archaeology#ArcheoPro","ArcheoPro","ArcheoPro","https://vocabularies.dans.knaw.nl/collections#Organization","ArcheoPro"
"https://vocabularies.dans.knaw.nl/collections/archaeology#Archolbv","Archol bv","Archol bv","https://vocabularies.dans.knaw.nl/collections#Organization","Archolbv"
"https://vocabularies.dans.knaw.nl/collections/archaeology#ArGeoBoor","ArGeoBoor","ArGeoBoor","https://vocabularies.dans.knaw.nl/collections#Organization","ArGeoBoor"
"https://vocabularies.dans.knaw.nl/collections/archaeology#ARGO","ARGO","ARGO","https://vocabularies.dans.knaw.nl/collections#Organization","ARGO"
"https://vocabularies.dans.knaw.nl/collections/archaeology#ArniconArcheoMedia","Arnicon/ArcheoMedia","Arnicon/ArcheoMedia","https://vocabularies.dans.knaw.nl/collections#Organization","Arnicon/ArcheoMedia"
"https://vocabularies.dans.knaw.nl/collections/archaeology#ArteFact","ArteFact!","ArteFact! Advies en Onderzoek in Erfgoed","https://vocabularies.dans.knaw.nl/collections#Organization","ArteFact!"
"https://vocabularies.dans.knaw.nl/collections/archaeology#BAACbv","BAAC bv","BAAC bv","https://vocabularies.dans.knaw.nl/collections#Organization","BAACbv"
"https://vocabularies.dans.knaw.nl/collections/archaeology#Bilan","Bilan","Bilan, Fontys Hogescholen","https://vocabularies.dans.knaw.nl/collections#Organization","Bilan"
"https://vocabularies.dans.knaw.nl/collections/archaeology#BOOR","BOOR","BOOR","https://vocabularies.dans.knaw.nl/collections#Organization","BOOR"
"https://vocabularies.dans.knaw.nl/collections/archaeology#BureauvoorArcheologie","Bureau voor Archeologie","Bureau voor Archeologie","https://vocabularies.dans.knaw.nl/collections#Organization","BureauvoorArcheologie"
"https://vocabularies.dans.knaw.nl/collections/archaeology#BurodeBrugbv","Buro de Brug bv","Buro de Brug bv","https://vocabularies.dans.knaw.nl/collections#Organization","BurodeBrugbv"
"https://vocabularies.dans.knaw.nl/collections/archaeology#DeSteekproef","De Steekproef","De Steekproef","https://vocabularies.dans.knaw.nl/collections#Organization","DeSteekproef"
"https://vocabularies.dans.knaw.nl/collections/archaeology#Diachronbv","Diachron bv","Diachron bv","https://vocabularies.dans.knaw.nl/collections#Organization","Diachronbv"
"https://vocabularies.dans.knaw.nl/collections/archaeology#EARTHIntegratedArchaeology","EARTH Integrated Archaeology","EARTH Integrated Archaeology","https://vocabularies.dans.knaw.nl/collections#Organization","EARTHIntegratedArchaeology"
"https://vocabularies.dans.knaw.nl/collections/archaeology#Econsultancybv","Econsultancy bv","Econsultancy bv","https://vocabularies.dans.knaw.nl/collections#Organization","Econsultancybv"
"https://vocabularies.dans.knaw.nl/collections/archaeology#GemeenteAlkmaar","Gemeente Alkmaar","Gemeente Alkmaar","https://vocabularies.dans.knaw.nl/collections#Organization","GemeenteAlkmaar"
"https://vocabularies.dans.knaw.nl/collections/archaeology#GemeenteAlmere","Gemeente Almere","Gemeente Almere","https://vocabularies.dans.knaw.nl/collections#Organization","GemeenteAlmere"
"https://vocabularies.dans.knaw.nl/collections/archaeology#GemeenteAmersfoort","Gemeente Amersfoort","Gemeente Amersfoort","https://vocabularies.dans.knaw.nl/collections#Organization","GemeenteAmersfoort"
